Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUwNzIyMTU3MzIyNjYxOjE2OTgxMzU4Mjk6c3BfYXRmX25leHQ6MjAxMzQ3OTEzNjkxOTg6OjA6Og&url=%2FHalf-Moon-Eclipse-Backpack-Compartment%2Fdp%2FB0BZMKTWSJ%2Fref%3Dsr_1_113_sspa%3Fkeywords%3Dbags%26qid%3D1698135829%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon Eclipse Unisex School Bags for Boys Girls Laptop Bag/Backpack for Men Women Daypack College Bag with Never Fading Print and 15.6 inch Laptop Compartment,249,3.6 out of 5 stars,16
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUwNzIyMTU3MzIyNjYxOjE2OTgxMzU4Mjk6c3BfYXRmX25leHQ6MjAxMDU0NTE4NTE0OTg6OjA6Og&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR179L65%2Fref%3Dsr_1_114_sspa%3Fkeywords%3Dbags%26qid%3D1698135829%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",699,4.5 out of 5 stars,82
https://www.amazon.in/Shalimar-Premium-Garbage-Small-Rolls/dp/B07KT56WHT/ref=sr_1_115?keywords=bags&qid=1698135829&sr=8-115,Shalimar Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,"1,869",4.4 out of 5 stars,"7,191"
https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32/ref=sr_1_116?keywords=bags&qid=1698135829&sr=8-116,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,529,4.4 out of 5 stars,592
https://www.amazon.in/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5/ref=sr_1_117?keywords=bags&qid=1698135829&sr=8-117,Nivia Polyester Pulse Bag,"1,650",3.7 out of 5 stars,58
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_118?keywords=bags&qid=1698135829&sr=8-118,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Black",199,4.3 out of 5 stars,"13,603"
https://www.amazon.in/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ/ref=sr_1_119?keywords=bags&qid=1698135829&sr=8-119,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour","4,716",4.6 out of 5 stars,20
https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_120?keywords=bags&qid=1698135829&sr=8-120,Gear Modern Eco5 21L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag For Men/Women - Navy Blue,229,3.9 out of 5 stars,"2,794"
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_121?keywords=bags&qid=1698135829&sr=8-121,Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,389,4.1 out of 5 stars,"1,297"
https://www.amazon.in/Stylbase-Trends-Polyester-Character-Embossed/dp/B0BNL2PBPH/ref=sr_1_122?keywords=bags&qid=1698135829&sr=8-122,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",899,4.0 out of 5 stars,216
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUwNzIyMTU3MzIyNjYxOjE2OTgxMzU4Mjk6c3BfbXRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2FUppercase-Medium-Laptop-Backpack-2100Ebp1%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_123_sspa%3Fkeywords%3Dbags%26qid%3D1698135829%26sr%3D8-123-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,399,4.2 out of 5 stars,203
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUwNzIyMTU3MzIyNjYxOjE2OTgxMzU4Mjk6c3BfbXRmOjIwMDk3NjEyMjMxMjk4OjowOjo&url=%2Fuppercase-Overnighter-Backpack-Repellent-Sustainable%2Fdp%2FB0B8NV9YX3%2Fref%3Dsr_1_124_sspa%3Fkeywords%3Dbags%26qid%3D1698135829%26sr%3D8-124-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Medium 21 Ltrs Office Overnighter (14.6 inch) Laptop Backpack with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Maroon)",595,3.6 out of 5 stars,35
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TD6BN7Y/ref=sr_1_125?keywords=bags&qid=1698135829&sr=8-125,"Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 Bags/Roll (Pack of 3, Green, For Wet Waste, plastic)",551,4.3 out of 5 stars,"1,202"
https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_126?keywords=bags&qid=1698135829&sr=8-126,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",900,4.2 out of 5 stars,"1,342"
https://www.amazon.in/American-Tourister-Harp-Duffle-Grey/dp/B0BTHP5LS1/ref=sr_1_127?keywords=bags&qid=1698135829&sr=8-127,American Tourister Harp Duffle Bag 52 CM Grey,"1,300",4.0 out of 5 stars,36
https://www.amazon.in/Zureni-OXO-Biodegradable-Drawstring-Anti-drip-Warehouse/dp/B0BTHC4F2T/ref=sr_1_128?keywords=bags&qid=1698135829&sr=8-128,"Zureni OXO-Biodegradable Garbage Dustbin Bags (Large, 60 x 81 cm) Drawstring Anti-drip Trash Waste Basket Bag for Kitchen Office Warehouse Pantry (Black, Green, Blue, 3 x 15 Pcs/Roll)",219,4.3 out of 5 stars,619
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/ref=sr_1_129?keywords=bags&qid=1698135829&sr=8-129,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,309,4.0 out of 5 stars,"1,131"
https://www.amazon.in/Ezee-Garbage-Bags-48x54-Medium/dp/B074CW3JV4/ref=sr_1_130?keywords=bags&qid=1698135829&sr=8-130,"Ezee Garbage Bags - 48X54 Cm (6 Rolls, 180 Bags, Medium, Black, plastic)","1,099",4.2 out of 5 stars,"8,627"
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B09TP86BCD/ref=sr_1_131?keywords=bags&qid=1698135829&sr=8-131,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,149,4.2 out of 5 stars,"3,769"
https://www.amazon.in/TRAWOC-60LTravel-Backpack-Trekking-Rucksack/dp/B07YYG5G31/ref=sr_1_132?keywords=bags&qid=1698135829&sr=8-132,"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006",316,4.3 out of 5 stars,"1,447"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUwNzIyMTU3MzIyNjYxOjE2OTgxMzU4Mjk6c3BfYnRmOjMwMDA2ODM4MzU1NzQzMjo6MDo6&url=%2FCARRIZ-Laptop-Professionals-Students-Office%2Fdp%2FB0CJF25SK3%2Fref%3Dsr_1_133_sspa%3Fkeywords%3Dbags%26qid%3D1698135829%26sr%3D8-133-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"CARRIZ Laptop Bag for Professionals, Students, and Office Use - Water-Resistant Fabric - Accommodates 15.6 Inch Laptops - Travel Backpack for Men and Women",540,4.4 out of 5 stars,31
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUwNzIyMTU3MzIyNjYxOjE2OTgxMzU4Mjk6c3BfYnRmOjIwMDk3NjEyMjMxODk4OjowOjo&url=%2Fuppercase-resistant-sustainable-Rainproof-Detachable%2Fdp%2FB0BC48NDJP%2Fref%3Dsr_1_134_sspa%3Fkeywords%3Dbags%26qid%3D1698135829%26sr%3D8-134-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase 22 Ltrs Large (14.6 inch) Laptop Backpack 2900EBP1 Bucket Outdoor 3x more water repellent sustainable bag with Rainproof zipper & Detachable organizer for Men, Women, Boys and Girls , 750 Days warranty",269,3.8 out of 5 stars,436
